date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:57	111582/111582	---M-Z	200	added ('OK')	text/html	etag:W/%228ac19351ed5671cedfdf65c30f01f1c9%22	https://evo-noi-that.mysapo.net/	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/index.html	(from )
09:52:57	89/89	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Nov%202022%2002:52:56%20GMT	https://evo-noi-that.mysapo.net/robots.txt		(from )
09:52:58	2889/2889	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2007:49:52%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/favicon.png?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/favicon7825.png	(from https://evo-noi-that.mysapo.net/)
09:52:58	8102/8102	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Oct%202022%2004:25:54%20GMT	https://bizweb.dktcdn.net/100/360/933/themes/728303/assets/logo.png?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/logo7825.png	(from https://evo-noi-that.mysapo.net/)
09:52:59	109209/109209	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2008:35:00%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/bootstrap.scss.css?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/bootstrap.scss7825.css	(from https://evo-noi-that.mysapo.net/)
09:52:59	101684/101684	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2008:29:44%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/plugin.scss.css?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/plugin.scss7825.css	(from https://evo-noi-that.mysapo.net/)
09:52:59	43612/43612	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2008:29:44%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/evo-main.scss.css?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/evo-main.scss7825.css	(from https://evo-noi-that.mysapo.net/)
09:53:00	1343/1343	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2008:35:01%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/slick.scss.css?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/slick.scss7825.css	(from https://evo-noi-that.mysapo.net/)
09:53:00	34662/34662	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2008:35:01%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/evo-index.scss.css?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/evo-index.scss7825.css	(from https://evo-noi-that.mysapo.net/)
09:53:00	61692/61692	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Nov%202022%2002:53:00%20GMT	https://evo-noi-that.mysapo.net/s	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/s	(from https://evo-noi-that.mysapo.net/)
09:53:01	8701/8701	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d8ee7ad090e8fd%22	https://evo-noi-that.mysapo.net/dist/js/stats.min.js?v=69e02f0	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/dist/js/stats.min4143.js	(from https://evo-noi-that.mysapo.net/)
09:53:03	170237/170237	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Sep%202022%2008:29:45%20GMT	http://bizweb.dktcdn.net/100/360/933/themes/728303/assets/jquery-2.2.3.min.js?1663835694812	C:/My%20Web%20Sites/noithat/bizweb.dktcdn.net/100/360/933/themes/728303/assets/jquery-2.2.3.min7825.js	(from https://evo-noi-that.mysapo.net/)
09:53:03	67222/67222	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2002:53:01%20GMT	https://evo-noi-that.mysapo.net/account/login	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/account/login.html	(from https://evo-noi-that.mysapo.net/)
09:53:04	66720/66720	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2002:53:03%20GMT	https://evo-noi-that.mysapo.net/account/register	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/account/register.html	(from https://evo-noi-that.mysapo.net/)
09:53:04	62668/62668	---M-Z	200	added ('OK')	text/html	etag:W/%2267cad35b12edda116b5bfc1059af3a0e%22	https://evo-noi-that.mysapo.net/cart	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/cart.html	(from https://evo-noi-that.mysapo.net/)
09:53:04	67005/67005	---M-Z	200	added ('OK')	text/html	etag:W/%2295bd9bbddd21595bf3409d96c8142647%22	https://evo-noi-that.mysapo.net/he-thong-cua-hang	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/he-thong-cua-hang.html	(from https://evo-noi-that.mysapo.net/)
09:53:04	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2023%20Nov%202022%2002:53:04%20GMT	https://evo-noi-that.mysapo.net/checkout	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/checkout	(from https://evo-noi-that.mysapo.net/)
09:53:05	99672/99672	---M-Z	200	added ('OK')	text/html	etag:W/%2289696fa24ee6e44b6e39e6eabe45a9d5%22	https://evo-noi-that.mysapo.net/noi-that-go	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/noi-that-go.html	(from https://evo-noi-that.mysapo.net/)
09:53:05	79416/79416	---M-Z	200	added ('OK')	text/html	etag:W/%22107e915397b9fda044be88555c34ab8f%22	https://evo-noi-that.mysapo.net/ban	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/ban.html	(from https://evo-noi-that.mysapo.net/)
09:53:06	77350/77350	---M-Z	200	added ('OK')	text/html	etag:W/%22bc4804bc79e214a25a5f534c2ba2051e%22	https://evo-noi-that.mysapo.net/ban-an	C:/My%20Web%20Sites/noithat/evo-noi-that.mysapo.net/ban-an.html	(from https://evo-noi-that.mysapo.net/)
